"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.843885840E2,6.501219481E1,2.550144238E1,1.589074544E1,1.381660053E0,3.526038846E1,1.036847260E1,1.351504892E1
1.853885807E2,6.501220680E1,2.550146575E1,1.576362179E1,1.356733339E0,3.666747400E1,1.041238066E1,1.350150654E1
1.863885760E2,6.501221881E1,2.550147735E1,1.577529336E1,1.378743558E0,3.044902745E1,1.036452209E1,1.329901634E1
1.873885713E2,6.501222871E1,2.550149044E1,1.591536952E1,1.414084442E0,3.475694904E1,1.028272825E1,1.301356587E1
1.883885676E2,6.501223843E1,2.550150482E1,1.621834540E1,1.364702217E0,3.211916340E1,1.028272832E1,1.295834685E1
1.893885627E2,6.501225191E1,2.550152582E1,1.635127576E1,1.498143933E0,3.165087599E1,1.022291316E1,1.329525593E1
1.903885586E2,6.501226192E1,2.550153665E1,1.670850224E1,1.410294189E0,2.990905539E1,1.022291319E1,1.339218484E1
1.913885545E2,6.501227280E1,2.550156073E1,1.703447959E1,1.455415996E0,3.370792391E1,1.021440105E1,1.299360691E1
1.923885500E2,6.501228305E1,2.550158327E1,1.697944645E1,1.466641362E0,3.296505595E1,1.022139323E1,1.287967029E1
1.933885453E2,6.501229468E1,2.550159794E1,1.711785112E1,1.404572497E0,3.150914923E1,1.003380980E1,1.261460103E1
1.943885411E2,6.501230730E1,2.550161974E1,1.745804289E1,1.423387022E0,3.285012866E1,9.957111930E0,1.274719383E1
1.953885370E2,6.501232247E1,2.550163403E1,1.706079414E1,1.477911254E0,3.164168881E1,9.971705937E0,1.303962029E1
1.963885328E2,6.501233607E1,2.550165330E1,1.703097235E1,1.438679142E0,3.024632823E1,1.003692150E1,1.269602372E1
1.973885287E2,6.501234696E1,2.550167682E1,1.696215713E1,1.490668776E0,3.589409767E1,1.003692144E1,1.294774621E1
1.983885233E2,6.501235336E1,2.550169628E1,1.703737333E1,1.402563676E0,3.582664892E1,9.975571308E0,1.300681903E1
1.993885196E2,6.501236585E1,2.550172095E1,1.719992554E1,1.589811831E0,3.670053297E1,9.876154975E0,1.306592034E1
2.003885148E2,6.501237950E1,2.550173813E1,1.749782967E1,1.434657312E0,3.543478321E1,9.714673360E0,1.316324640E1
2.013885113E2,6.501239165E1,2.550175809E1,1.787566444E1,1.475462007E0,3.329493680E1,9.717432292E0,1.330477306E1
2.023885068E2,6.501240741E1,2.550176993E1,1.820255053E1,1.540914329E0,2.978562033E1,9.717432336E0,1.312366807E1
2.033885018E2,6.501241920E1,2.550178875E1,1.767212325E1,1.470938429E0,3.312942800E1,9.703069197E0,1.382174625E1
2.043884976E2,6.501243200E1,2.550180653E1,1.732362195E1,1.601687106E0,3.170503178E1,9.703069217E0,1.355783974E1
2.053884929E2,6.501244074E1,2.550182198E1,1.783076136E1,1.438276958E0,3.136082988E1,9.703069243E0,1.355980385E1
2.063884888E2,6.501245333E1,2.550185090E1,1.767863882E1,1.617375234E0,3.276756430E1,9.803132199E0,1.382227064E1
2.073884853E2,6.501246564E1,2.550186637E1,1.785820196E1,1.549320776E0,3.418628786E1,9.732464562E0,1.382516888E1
2.083884805E2,6.501247351E1,2.550188027E1,1.733624821E1,1.372270090E0,3.451353381E1,9.752474742E0,1.378510420E1
2.093884758E2,6.501248488E1,2.550189383E1,1.728419167E1,1.498489771E0,2.936215718E1,9.605827666E0,1.356252970E1
2.103884721E2,6.501249649E1,2.550190008E1,1.700482214E1,1.438910581E0,2.964682893E1,9.605827754E0,1.311160192E1
2.113884679E2,6.501250798E1,2.550191687E1,1.726258567E1,1.434397717E0,2.869728666E1,9.598581233E0,1.342335902E1
2.123884635E2,6.501251770E1,2.550193340E1,1.744682904E1,1.330068822E0,2.960355505E1,9.512835964E0,1.334978259E1
2.133884590E2,6.501252866E1,2.550195186E1,1.788400149E1,1.413538274E0,2.973917362E1,9.512835946E0,1.319111438E1
2.143884549E2,6.501253584E1,2.550197572E1,1.805535475E1,1.357032863E0,3.949488862E1,9.483434723E0,1.264653942E1
